split,threshold,n_abnormal,n_normal,pct_abnormal,pct_normal
ALL,40,1264,8766,12.6,87.4
ALL,45,1636,8394,16.3,83.7
ALL,50,2246,7784,22.4,77.6
ALL,55,3069,6961,30.6,69.4
ALL,60,5531,4499,55.1,44.9
ALL,65,8121,1909,81.0,19.0
ALL,70,9705,325,96.8,3.2
TRAIN,40,948,6517,12.7,87.3
TRAIN,45,1219,6246,16.3,83.7
TRAIN,50,1672,5793,22.4,77.6
TRAIN,55,2281,5184,30.6,69.4
TRAIN,60,4083,3382,54.7,45.3
TRAIN,65,6041,1424,80.9,19.1
TRAIN,70,7214,251,96.6,3.4
VAL,40,156,1132,12.1,87.9
VAL,45,213,1075,16.5,83.5
VAL,50,289,999,22.4,77.6
VAL,55,387,901,30.0,70.0
VAL,60,715,573,55.5,44.5
VAL,65,1038,250,80.6,19.4
VAL,70,1252,36,97.2,2.8
TEST,40,160,1117,12.5,87.5
TEST,45,204,1073,16.0,84.0
TEST,50,285,992,22.3,77.7
TEST,55,401,876,31.4,68.6
TEST,60,733,544,57.4,42.6
TEST,65,1042,235,81.6,18.4
TEST,70,1239,38,97.0,3.0
