ef_bin,n,error_rate,under_call_rate,over_call_rate
"[10.0, 15.0)",6,0.0,0.0,0.0
"[15.0, 20.0)",13,0.0,0.0,0.0
"[20.0, 25.0)",27,0.0,0.0,0.0
"[25.0, 30.0)",37,0.08108108108108103,0.08108108108108109,0.0
"[30.0, 35.0)",41,0.12195121951219512,0.12195121951219512,0.0
"[35.0, 40.0)",36,0.19444444444444442,0.19444444444444445,0.0
"[40.0, 45.0)",44,0.13636363636363635,0.13636363636363635,0.0
"[45.0, 50.0)",81,0.28395061728395066,0.2839506172839506,0.0
"[50.0, 55.0)",116,0.4913793103448276,0.0,0.49137931034482757
"[55.0, 60.0)",332,0.2319277108433735,0.0,0.2319277108433735
"[60.0, 65.0)",309,0.11003236245954695,0.0,0.11003236245954692
"[65.0, 70.0)",197,0.055837563451776595,0.0,0.05583756345177665
"[70.0, 75.0)",29,0.10344827586206895,0.0,0.10344827586206896
"[75.0, 80.0)",7,0.0,0.0,0.0
"[80.0, 85.0)",2,0.0,0.0,0.0
